model,dataset,frequency,term,horizon_steps,MASE,scaled_MASE,inference_seconds,domain,reference_loss,reference_scaled_MASE,reference_inference_seconds,loss_ratio_to_reference,paired_improvement_percent
chronos2,Uncertainty_1M,M,short,6,0.34831858713813474,0.3595686973057672,0.041295427829027176,Economics,0.9687122092330922,1.0,0.12652770429849625,0.3595686973057672,64.04313026942327
chronos2,Vehicle_Sales,M,short,12,0.8347676511453125,0.641942586515579,0.19706346094608307,Sales,1.3003774304433904,1.0,0.2621117187663913,0.641942586515579,35.8057413484421
chronos2,Vehicle_Supply,M,short,12,0.7093837591871602,0.6377317083452629,0.05086592584848404,Economics,1.1123545370322176,1.0,0.13469098322093487,0.6377317083452629,36.2268291654737
chronos2,WUI_Global,Q,short,4,0.94869897935911,0.7439285984133395,0.22494543343782425,Economics,1.2752554228759418,1.0,0.30773282889276743,0.7439285984133395,25.607140158666052
chronos2,Water_Quality_Darwin,15T,long,288,1.3438600426938248,0.8445418228406545,6.404951464384794,Climate,1.591229713377238,1.0,2.003494313918054,0.8445418228406545,15.54581771593455
chronos2,Water_Quality_Darwin,15T,medium,96,0.8597502641011925,0.7893230306953193,18.270266816020012,Climate,1.0892248555624096,1.0,3.5120491245761514,0.7893230306953193,21.06769693046807
chronos2,Water_Quality_Darwin,15T,short,16,0.6094824190185418,0.5606183316544642,108.73378762602806,Climate,1.0871610587899843,1.0,15.32182686496526,0.5606183316544642,43.938166834553584
chronos2,azure2019_D,5T,short,288,0.7178189979991152,0.675893798156481,134.05741056241095,Unclassified,1.0620292713988297,1.0,79.90540184918791,0.675893798156481,32.4106201843519
chronos2,azure2019_I,5T,short,288,0.6743310912887667,0.6838294861819983,66.40189513191581,Unclassified,0.9861099951301255,1.0,39.59057625103742,0.6838294861819983,31.617051381800167
chronos2,azure2019_U,5T,short,48,0.660765043626459,0.5936503411347164,3.7951691672205925,Cloud operations,1.1130542641708217,1.0,5.367972842417657,0.5936503411347164,40.63496588652836
chronos2,current_velocity,10T,long,432,0.9316460162410004,0.6481016112622744,9.090097466483712,Climate,1.437499922931037,1.0,3.6895391680300236,0.6481016112622744,35.18983887377256
chronos2,current_velocity,10T,medium,144,0.6789060087742972,0.6504730347224693,25.999050242826343,Climate,1.0437112263446233,1.0,6.091557212173939,0.6504730347224693,34.95269652775307
chronos2,current_velocity,10T,short,18,0.5194505333197549,0.4982241807387488,201.0035624075681,Climate,1.042604019237951,1.0,31.85003567300737,0.4982241807387488,50.177581926125114
chronos2,current_velocity,15T,long,288,0.833118261287429,0.7381883505010921,3.4571023285388947,Climate,1.1285984948447063,1.0,1.2894736649468541,0.7381883505010921,26.18116494989079
chronos2,current_velocity,15T,medium,96,0.7241171488612939,0.7296279655870667,9.782316954806447,Climate,0.9924470867542217,1.0,2.322853246703744,0.7296279655870667,27.037203441293332
chronos2,current_velocity,15T,short,12,0.5007411360495544,0.5050993909342699,72.00146936066449,Climate,0.9913714905166404,1.0,12.830142772756517,0.5050993909342699,49.49006090657301
chronos2,current_velocity,20T,long,216,1.0349358208450468,0.781870763603415,17.751671634614468,Climate,1.3236660955006534,1.0,5.862513719126582,0.781870763603415,21.8129236396585
chronos2,current_velocity,20T,medium,72,0.7299695255910452,0.7171298223008168,49.32195366732776,Climate,1.0179042941611798,1.0,11.10418189316988,0.7171298223008168,28.28701776991832
chronos2,current_velocity,20T,short,9,0.47270363597055953,0.4653776732920044,365.2686357181519,Climate,1.0157419728083052,1.0,65.24346527643502,0.4653776732920044,53.46223267079956
chronos2,current_velocity,5T,long,864,0.8498127852978865,0.777712771625857,0.9209160786122084,Climate,1.0927077660320532,1.0,0.6923420028761029,0.777712771625857,22.228722837414306
chronos2,current_velocity,5T,medium,288,0.5887550978283445,0.6464918211841407,2.6760226264595985,Climate,0.9106922601897061,1.0,0.8633319521322846,0.6464918211841407,35.350817881585925
chronos2,current_velocity,5T,short,36,0.3706701934773139,0.4071054806710614,20.702121302485466,Climate,0.9105016048084428,1.0,3.565892705693841,0.4071054806710614,59.289451932893854
chronos2,current_velocity,H,long,336,1.3531326104934525,0.6840659980303931,3.357229046523571,Climate,1.97807318941371,1.0,2.3988108662888408,0.6840659980303931,31.593400196960687
chronos2,current_velocity,H,medium,168,1.1473694401871861,0.6223341881268303,6.254655158147216,Climate,1.8436548434542293,1.0,3.0981775810942054,0.6223341881268303,37.76658118731697
chronos2,current_velocity,H,short,24,0.6887220749234917,0.6662337824074845,41.62280345708132,Climate,1.0337543563683367,1.0,12.451473160646856,0.6662337824074845,33.37662175925155
seasonal_naive,Coastal_T_S,H,medium,168,2.05499932278695,1.0,1.804201859049499,Climate,2.05499932278695,1.0,1.804201859049499,1.0,0.0
